CLIProxyAPI Version: dev, Commit: none, BuiltAt: unknown
[2026-06-02 21:44:47] [--------] [info ] [main.go:496] CLIProxyAPI Version: dev, Commit: none, BuiltAt: unknown
[2026-06-02 21:44:47] [--------] [info ] [util.go:70] log level changed from info to debug (debug=true)
[2026-06-02 21:44:47] [--------] [info ] [antigravity_version.go:54] periodic antigravity version refresh started (interval=3h0m0s)
[2026-06-02 21:44:47] [--------] [info ] [global_logger.go:97] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)
[2026-06-02 21:44:47] [--------] [debug] [reconcile.go:103] auth providers unchanged after config update
[2026-06-02 21:44:47] [--------] [info ] [global_logger.go:97] PUT    /api/auth                 --> github.com/router-for-me/CLIProxyAPI/v7/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (11 handlers)
[2026-06-02 21:44:47] [--------] [info ] [global_logger.go:97] PATCH  /api/auth                 --> github.com/router-for-me/CLIProxyAPI/v7/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (11 handlers)
[2026-06-02 21:44:47] [--------] [info ] [global_logger.go:97] HEAD   /api/auth                 --> github.com/router-for-me/CLIProxyAPI/v7/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (11 handlers)
[2026-06-02 21:44:47] [--------] [info ] [global_logger.go:97] OPTIONS /api/auth                 --> github.com/router-for-me/CLIProxyAPI/v7/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (11 handlers)
[2026-06-02 21:44:47] [--------] [info ] [global_logger.go:97] DELETE /api/auth                 --> github.com/router-for-me/CLIProxyAPI/v7/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (11 handlers)
[2026-06-02 21:44:47] [--------] [info ] [global_logger.go:97] CONNECT /api/auth                 --> github.com/router-for-me/CLIProxyAPI/v7/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (11 handlers)
[2026-06-02 21:44:47] [--------] [info ] [global_logger.go:97] TRACE  /api/auth                 --> github.com/router-for-me/CLIProxyAPI/v7/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (11 handlers)
[2026-06-02 21:44:47] [--------] [info ] [global_logger.go:97] GET    /api/auth/*path           --> github.com/router-for-me/CLIProxyAPI/v7/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (11 handlers)
[2026-06-02 21:44:47] [--------] [info ] [global_logger.go:97] POST   /api/auth/*path           --> github.com/router-for-me/CLIProxyAPI/v7/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (11 handlers)
[2026-06-02 21:44:47] [--------] [info ] [global_logger.go:97] PUT    /api/auth/*path           --> github.com/router-for-me/CLIProxyAPI/v7/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (11 handlers)
[2026-06-02 21:44:47] [--------] [info ] [global_logger.go:97] PATCH  /api/auth/*path           --> github.com/router-for-me/CLIProxyAPI/v7/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (11 handlers)
[2026-06-02 21:44:47] [--------] [info ] [global_logger.go:97] HEAD   /api/auth/*path           --> github.com/router-for-me/CLIProxyAPI/v7/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (11 handlers)
[2026-06-02 21:44:47] [--------] [info ] [global_logger.go:97] OPTIONS /api/auth/*path           --> github.com/router-for-me/CLIProxyAPI/v7/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (11 handlers)
[2026-06-02 21:44:47] [--------] [info ] [global_logger.go:97] DELETE /api/auth/*path           --> github.com/router-for-me/CLIProxyAPI/v7/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (11 handlers)
[2026-06-02 21:44:47] [--------] [info ] [global_logger.go:97] CONNECT /api/auth/*path           --> github.com/router-for-me/CLIProxyAPI/v7/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (11 handlers)
[2026-06-02 21:44:47] [--------] [info ] [global_logger.go:97] TRACE  /api/auth/*path           --> github.com/router-for-me/CLIProxyAPI/v7/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (11 handlers)
[2026-06-02 21:44:47] [--------] [info ] [global_logger.go:97] GET    /api/meta                 --> github.com/router-for-me/CLIProxyAPI/v7/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (11 handlers)
[2026-06-02 21:44:47] [--------] [info ] [global_logger.go:97] POST   /api/meta                 --> github.com/router-for-me/CLIProxyAPI/v7/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (11 handlers)
[2026-06-02 21:44:47] [--------] [info ] [global_logger.go:97] PUT    /api/meta                 --> github.com/router-for-me/CLIProxyAPI/v7/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (11 handlers)
[2026-06-02 21:44:47] [--------] [info ] [global_logger.go:97] PATCH  /api/meta                 --> github.com/router-for-me/CLIProxyAPI/v7/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (11 handlers)
[2026-06-02 21:44:47] [--------] [info ] [global_logger.go:97] HEAD   /api/meta                 --> github.com/router-for-me/CLIProxyAPI/v7/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (11 handlers)
[2026-06-02 21:44:47] [--------] [info ] [global_logger.go:97] OPTIONS /api/meta                 --> github.com/router-for-me/CLIProxyAPI/v7/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (11 handlers)
[2026-06-02 21:44:47] [--------] [info ] [global_logger.go:97] DELETE /api/meta                 --> github.com/router-for-me/CLIProxyAPI/v7/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (11 handlers)
[2026-06-02 21:44:47] [--------] [info ] [global_logger.go:97] CONNECT /api/meta                 --> github.com/router-for-me/CLIProxyAPI/v7/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (11 handlers)
[2026-06-02 21:44:47] [--------] [info ] [global_logger.go:97] TRACE  /api/meta                 --> github.com/router-for-me/CLIProxyAPI/v7/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (11 handlers)
